1000|ENTRADAS OU AQUISIÇÕES DE SERVIÇOS DO ESTADO|Classificam-se, neste grupo, as operações ou prestações em que o estabelecimento remetente esteja localizado na mesma unidade da Federação do destinatário
1100|COMPRAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS| Início
1101|Compra para industrialização ou produção rural |Compra de mercadoria a ser utilizada em processo de industrialização ou produção rural, bem como a entrada de mercadoria em estabelecimento industrial ou produtor rural de cooperativa recebida de seus cooperados ou de estabelecimento de outra cooperativa.
1102|Compra para comercialização|Classificam-se neste código as compras de mercadorias a serem comercializadas. Também serão classificadas neste código as entradas de mercadorias em estabelecimento comercial de cooperativa recebidas de seus cooperados ou de estabelecimento de outra cooperativa.
1111|Compra para industrialização de mercadoria recebida anteriormente em consignação industrial|Classificam-se neste código as compras efetivas de mercadorias a serem utilizadas em processo de industrialização, recebidas anteriormente a título de consignação industrial.
1113|Compra para comercialização, de mercadoria recebida anteriormente em consignação mercantil|Classificam-se neste código as compras efetivas de mercadorias recebidas anteriormente a título de consignação mercantil.
1116|Compra para industrialização ou produção rural originada de encomenda para recebimento futuro |Compra de mercadoria, a ser utilizada em processo de industrialização ou produção rural, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código “1.922 – Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro”.
1117|Compra para comercialização originada de encomenda para recebimento futuro|Classificam-se neste código as compras de mercadorias a serem comercializadas, quando da entrada real da mercadoria, cuja aquisição tenha sido classificada no código 1.922 - Lançamento efetuado a título de simples faturamento decorrente de compra para recebimento futuro.
1118|Compra de mercadoria para comercialização pelo adquirente originário, entregue pelo vendedor remetente ao destinatário, em venda à ordem.|Classificam-se neste código as compras de mercadorias já comercializadas, que, sem transitar pelo estabelecimento do adquirente originário, sejam entregues pelo vendedor remetente diretamente ao destinatário, em operação de venda à ordem, cuja venda seja classificada, pelo adquirente originário, no código 5.120 - Venda de mercadoria adquirida ou recebida de terceiros entregue ao destinatário pelo vendedor remetente, em venda à ordem.
1120|Compra para industrialização, em venda à ordem, já recebida do vendedor remetente|Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, em vendas à ordem, já recebidas do vendedor remetente, por ordem do adquirente originário.
1121|Compra para comercialização, em venda à ordem, já recebida do vendedor remetente|Classificam-se neste código as compras de mercadorias a serem comercializadas, em vendas à ordem, já recebidas do vendedor remetente por ordem do adquirente originário.
1122|Compra para industrialização em que a mercadoria foi remetida pelo fornecedor ao industrializador sem transitar pelo estabelecimento adquirente|Classificam-se neste código as compras de mercadorias a serem utilizadas em processo de industrialização, remetidas pelo fornecedor para o industrializador sem que a mercadoria tenha transitado pelo estabelecimento do adquirente.
1124|Industrialização efetuada por outra empresa|Classificam-se neste código as entradas de mercadorias industrializadas por terceiros, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade do industrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.
1125|Industrialização efetuada por outra empresa quando a mercadoria remetida para utilização no processo de industrialização não transitou pelo estabelecimento adquirente da mercadoria|Classificam-se neste código as entradas de mercadorias industrializadas por outras empresas, em que as mercadorias remetidas para utilização no processo de industrialização não transitaram pelo estabelecimento do adquirente das mercadorias, compreendendo os valores referentes aos serviços prestados e os das mercadorias de propriedade doindustrializador empregadas no processo industrial. Quando a industrialização efetuada se referir a bens do ativo imobilizado ou de mercadorias para uso ou consumo do estabelecimento encomendante, a entrada deverá ser classificada nos códigos 1.551 - Compra de bem para o ativo imobilizado ou 1.556 - Compra de material para uso ou consumo.
1126|Compra para utilização na prestação de serviço sujeita ao ICMS |Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ICMS.
1128|Compra para utilização na prestação de serviço sujeita ao ISSQN|Classificam-se neste código as entradas de mercadorias a serem utilizadas nas prestações de serviços sujeitas ao ISSQN. 
1150|TRANSFERÊNCIAS PARA INDUSTRIALIZAÇÃO, PRODUÇÃO RURAL, COMERCIALIZAÇÃO OU PRESTAÇÃO DE SERVIÇOS | Início
1151|Transferência para industrialização ou produção rural |Entrada de mercadoria recebida, em transferência de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrialização ou produção rural.
1152|Transferência para comercialização|Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem comercializadas.
1153|Transferência de energia elétrica para distribuição|Classificam-se neste código as entradas de energia elétrica recebida em transferência de outro estabelecimento da mesma empresa, para distribuição.
1154|Transferência para utilização na prestação de serviço|Classificam-se neste código as entradas de mercadorias recebidas em transferência de outro estabelecimento da mesma empresa, para serem utilizadas nas prestações de serviços.
1200|DEVOLUÇÕES DE VENDAS DE PRODUÇÃO DO ESTABELECIMENTO, DE PRODUTOS DE TERCEIROS OU ANULAÇÕES DE VALORES| Início
1201|Devolução de venda de produção do estabelecimento|Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada como "Venda de produção do estabelecimento". 
1202|Devolução de venda de mercadoria adquirida ou recebida de terceiros|Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, que não tenham sido objeto de industrialização no estabelecimento, cujas saídas tenham sido classificadas como Venda de mercadoria adquirida ou recebida de terceiros.
1203|Devolução de venda de produção do estabelecimento, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio|Devolução de venda de produto industrializado ou produzido pelo estabelecimento, cuja saída tenha sido classificada no código "5.109 – Venda de produção do estabelecimento destinada à Zona Franca de Manaus ou Áreas de Livre Comércio".
1204|Devolução de venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio|Classificam-se neste código as devoluções de vendas de mercadorias adquiridas ou recebidas de terceiros, cujas saídas foram classificadas no código 5.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada à Zona Franca de Manaus ou Áreas de Livre Comércio.
1205|Anulação de valor relativo à prestação de serviço de comunicação|Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de comunicação.
1206|Anulação de valor relativo à prestação de serviço de transporte|Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de prestações de serviços de transporte.
1207|Anulação de valor relativo à venda de energia elétrica|Classificam-se neste código as anulações correspondentes a valores faturados indevidamente, decorrentes de venda de energia elétrica.
1208|Devolução de produção do estabelecimento, remetida em transferência|Devolução de produto industrializado ou produzido pelo estabelecimento transferido para outro estabelecimento da mesma empresa. 
1209|Devolução de mercadoria adquirida ou recebida de terceiros, remetida em transferência|Classificam-se neste código as devoluções de mercadorias adquiridas ou recebidas de terceiros, transferidas para outros estabelecimentos da mesma empresa.
1250|COMPRAS DE ENERGIA ELÉTRICA| Início
1251|Compra de energia elétrica para distribuição ou comercialização|Classificam-se neste código as compras de energia elétrica utilizada em sistema de distribuição ou comercialização. Também serão classificadas neste código as compras de energia elétrica por cooperativas para distribuição aos seus cooperados.
1252|Compra de energia elétrica por estabelecimento industrial|Classificam-se neste código as compras de energia elétrica utilizada no processo de industrialização. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento industrial de cooperativa.
1253|Compra de energia elétrica por estabelecimento comercial|Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento comercial. Também serão classificadas neste código as compras de energia elétrica utilizada por estabelecimento comercial de cooperativa.
1254|Compra de energia elétrica por estabelecimento prestador de serviço de transporte|Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de transporte.
1255|Compra de energia elétrica por estabelecimento prestador de serviço de comunicação|Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento prestador de serviços de comunicação.
1256|Compra de energia elétrica por estabelecimento de produtor rural|Classificam-se neste código as compras de energia elétrica utilizada por estabelecimento de produtor rural.
1257|Compra de energia elétrica para consumo por demanda contratada|Classificam-se neste código as compras de energia elétrica para consumo por demanda contratada, que prevalecerá sobre os demais códigos deste subgrupo.
1300|AQUISIÇÕES DE SERVIÇOS DE COMUNICAÇÃO| Início
1301|Aquisição de serviço de comunicação para execução de serviço da mesma natureza|Classificam-se neste código as aquisições de serviços de comunicação utilizados nas prestações de serviços da mesma natureza.
